date,LGA,group,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
2026-05-01,Ikwuano,A5,1797.4734838279326,527.2187197015373,6122.42340661421,275.1482045758952,11711.93826443556
2026-06-01,Ikwuano,A5,1920.662837408992,338.96748731084773,10861.180056948486,134.901949350867,27171.443650126486
2026-07-01,Ikwuano,A5,1864.1180990857677,222.7225842247113,15548.013684033194,71.80542236236751,47779.30826087756
2026-08-01,Ikwuano,A5,1843.4427351705074,158.49327912436,21328.8580479412,42.64748030867172,77940.9334006176
2026-09-01,Ikwuano,A5,1808.8483943485232,116.3352586893255,27915.17155077631,26.56933038027942,118810.41708356305
2026-10-01,Ikwuano,A5,1826.197879563228,90.32587150823683,36556.571649116304,17.69754197402774,178560.0159730083
2026-11-01,Ikwuano,A5,1797.5032651126303,69.78298582726646,45696.62008223705,11.769566318512911,253305.48778035273
2026-12-01,Ikwuano,A5,1802.901473014145,55.84872576266392,57239.6941525459,8.117564430767128,356899.1951180965
2027-01-01,Ikwuano,A5,1746.061119655635,43.69535163234039,68288.48524490172,5.419249438715144,475478.6623736316
2027-02-01,Ikwuano,A5,1738.0490206244724,35.53453429398942,82777.98034223709,3.7274986495835987,639722.3971502701
2027-03-01,Ikwuano,A5,1737.6753866087813,29.290763839401944,99798.13732208092,2.5497717195446836,851600.8321276575
2027-04-01,Ikwuano,A5,1717.9024131048068,24.046040511980582,117966.76837297727,1.6702275724592162,1106506.0019692695
2027-05-01,Ikwuano,A5,1709.3276565050123,19.687510919461197,141399.3213820232,0.9985421072164808,1463676.288581174
2027-06-01,Ikwuano,A5,1706.1689390585511,16.275157224548195,168705.18012928226,0.5184826343571224,1919300.360808894
2027-07-01,Ikwuano,A5,1695.9352231355108,13.465170034132571,199069.5359648849,0.16112829012857402,2479991.2420278843
2027-08-01,Ikwuano,A5,1687.1376007225635,11.197258580537762,233642.36667589852,0.0,3176927.7577604298
2027-09-01,Ikwuano,A5,1677.8239793384967,9.338972426427306,272603.45597066695,0.0,4033811.202223141
2027-10-01,Ikwuano,A5,1670.6293003356634,7.8192224378369,316846.0392301465,0.0,5088575.679807719
2027-11-01,Ikwuano,A5,1661.6409653511967,6.5494930530174615,366165.9678017737,0.0,6366858.7276181625
2027-12-01,Ikwuano,A5,1654.0563873463727,5.495438495595276,421712.1217782377,0.0,7921085.189568117
2028-01-01,Ikwuano,A5,1644.0125289450223,4.602041378012242,483049.0236944491,0.0,9780894.9066377
2028-02-01,Ikwuano,A5,1635.979570027752,3.85491963078038,551955.0191478409,0.0,12024674.574905068
2028-03-01,Ikwuano,A5,1628.3003922713103,3.2225202485636744,628680.3589960734,0.0,14709692.15388758
2028-04-01,Ikwuano,A5,1619.8734530407298,2.682339113817134,713466.8989542542,0.0,17898849.971717052
2026-05-01,Isiala Ngwa North,PW,1714.0391024249213,571.8465348619168,5133.637191364851,319.57844669041003,9174.161815189085
2026-06-01,Isiala Ngwa North,PW,1406.1495812839823,297.2539601498969,6637.872265476503,130.1965367187016,15091.394918572838
2026-07-01,Isiala Ngwa North,PW,1424.8789384948716,212.1048436471126,9539.518706416604,76.91223527444096,26094.14077065927
2026-08-01,Isiala Ngwa North,PW,1418.182662853982,156.93712392690395,12751.4129885857,48.39729766408201,40772.0690905751
2026-09-01,Isiala Ngwa North,PW,1538.571203890516,131.09608501018113,17942.60136915645,35.00093202265148,65838.39244566039
2026-10-01,Isiala Ngwa North,PW,1523.5694228121708,102.37164124573333,22484.00552921009,23.871659372942958,93451.22568874422
2026-11-01,Isiala Ngwa North,PW,1529.3897568776943,82.54755098827215,28032.051600578165,16.9230375438443,130673.99313254324
2026-12-01,Isiala Ngwa North,PW,1530.8061547772852,67.33273859110103,34337.30026708673,12.172785407295521,178126.10245124315
2027-01-01,Isiala Ngwa North,PW,1624.7196610209833,58.97927485952456,44063.62769715337,9.456667645936633,252752.98489472058
2027-02-01,Isiala Ngwa North,PW,1706.7003989367781,51.63529893938468,55403.656405337424,7.343163703751005,349535.54945278313
2027-03-01,Isiala Ngwa North,PW,1695.4357998174428,43.06001558643764,65316.598838710015,5.378748310693238,451168.14521894295
2027-04-01,Isiala Ngwa North,PW,1732.5006768461558,37.22101485819257,78621.31308549257,4.0738731595482545,592253.5759684754
2027-05-01,Isiala Ngwa North,PW,1741.8995459801852,32.99052242901025,89367.99495211395,3.2284750438793113,718390.0974654991
2027-06-01,Isiala Ngwa North,PW,1795.0015190565894,30.090938423499182,103746.96066031855,2.63128676079341,888285.0729370769
2027-07-01,Isiala Ngwa North,PW,1803.548474411595,26.818909122682765,117055.89759941174,2.055696194836648,1065679.2865427842
2027-08-01,Isiala Ngwa North,PW,1816.0406370806427,24.018967411994506,131964.3454290671,1.5886006933888004,1275451.287884608
2027-09-01,Isiala Ngwa North,PW,1809.860311098577,21.331206483183443,146843.5096677358,1.1795309932224356,1504549.7847831598
2027-10-01,Isiala Ngwa North,PW,1823.5238791122301,19.2023146320307,164776.52406512853,0.8624750122689152,1787345.0655965542
2027-11-01,Isiala Ngwa North,PW,1834.3084369142387,17.289821698232597,184164.65859327532,0.5947021893172336,2112215.9902147898
2027-12-01,Isiala Ngwa North,PW,1845.8033995974504,15.600668543396026,205453.54466781183,0.37051058167135725,2488621.0087445998
2028-01-01,Isiala Ngwa North,PW,1844.3932218831076,13.993135404404935,227134.68920157946,0.17330060856876323,2902474.391644297
2028-02-01,Isiala Ngwa North,PW,1845.2693921979135,12.584262570223794,250929.8584802109,0.008688259996724445,3379348.9971714937
2028-03-01,Isiala Ngwa North,PW,1858.538263441033,11.412878117019542,278571.1829057615,0.0,3949981.3435173626
2028-04-01,Isiala Ngwa North,PW,1865.5924950655121,10.323663570366751,307688.07262069505,0.0,4589379.821027389
2026-05-01,Isiala Ngwa North,U5,245.0,183.75,306.25,122.5,367.5
2026-06-01,Isiala Ngwa North,U5,1285.0,963.75,1606.25,642.5,1927.5
2026-07-01,Isiala Ngwa North,U5,1229.0,921.75,1536.25,614.5,1843.5
2026-08-01,Isiala Ngwa North,U5,1453.0,1089.75,1816.25,726.5,2179.5
2026-09-01,Isiala Ngwa North,U5,936.0,702.0,1170.0,468.0,1404.0
2026-10-01,Isiala Ngwa North,U5,1054.0,790.5,1317.5,527.0,1581.0
2026-11-01,Isiala Ngwa North,U5,1252.0,939.0,1565.0,626.0,1878.0
2026-12-01,Isiala Ngwa North,U5,1011.0,758.25,1263.75,505.5,1516.5
2027-01-01,Isiala Ngwa North,U5,1300.0,975.0,1625.0,650.0,1950.0
2027-02-01,Isiala Ngwa North,U5,539.0,404.25,673.75,269.5,808.5
2027-03-01,Isiala Ngwa North,U5,702.0,526.5,877.5,351.0,1053.0
2027-04-01,Isiala Ngwa North,U5,531.0,398.25,663.75,265.5,796.5
2027-05-01,Isiala Ngwa North,U5,245.0,183.75,306.25,122.5,367.5
2027-06-01,Isiala Ngwa North,U5,1285.0,963.75,1606.25,642.5,1927.5
2027-07-01,Isiala Ngwa North,U5,1229.0,921.75,1536.25,614.5,1843.5
2027-08-01,Isiala Ngwa North,U5,1453.0,1089.75,1816.25,726.5,2179.5
2027-09-01,Isiala Ngwa North,U5,936.0,702.0,1170.0,468.0,1404.0
2027-10-01,Isiala Ngwa North,U5,1054.0,790.5,1317.5,527.0,1581.0
2027-11-01,Isiala Ngwa North,U5,1252.0,939.0,1565.0,626.0,1878.0
2027-12-01,Isiala Ngwa North,U5,1011.0,758.25,1263.75,505.5,1516.5
2028-01-01,Isiala Ngwa North,U5,1300.0,975.0,1625.0,650.0,1950.0
2028-02-01,Isiala Ngwa North,U5,539.0,404.25,673.75,269.5,808.5
2028-03-01,Isiala Ngwa North,U5,702.0,526.5,877.5,351.0,1053.0
2028-04-01,Isiala Ngwa North,U5,531.0,398.25,663.75,265.5,796.5
2026-05-01,Isiala Ngwa North,A5,1553.8770260963342,448.3071211015058,5379.8240571731285,231.8804753912243,10380.473853575295
2026-06-01,Isiala Ngwa North,A5,1497.3616691090242,259.1873022724488,8627.736574947428,101.98913595715086,21798.267180853527
2026-07-01,Isiala Ngwa North,A5,1436.7830529064934,168.47243108085465,12196.972815052468,53.64254643201508,37830.69420548694
2026-08-01,Isiala Ngwa North,A5,1379.473296051654,116.70283647458096,16189.829194870534,30.971638315669175,59605.157879552244
2026-09-01,Isiala Ngwa North,A5,1322.4376237141075,84.03584684516288,20596.04476220753,18.88573558383651,88076.56376312693
2026-10-01,Isiala Ngwa North,A5,1270.4613053357414,62.3972017330505,25498.76665804929,11.963120230207783,124707.69838874845
2026-11-01,Isiala Ngwa North,A5,1220.4470824337434,47.33087817163758,30868.146839989062,7.743929437965045,170624.00169639054
2026-12-01,Isiala Ngwa North,A5,1172.6556681732734,36.51616790427656,36715.63990175907,5.06237361806982,227214.89169784958
2027-01-01,Isiala Ngwa North,A5,1125.7344926423302,28.52561468128992,42996.60159487749,3.2947560120362214,295599.1722454221
2027-02-01,Isiala Ngwa North,A5,1081.096748969278,22.534886809654086,49752.091383025494,2.1017672116549933,377504.239506711
2027-03-01,Isiala Ngwa North,A5,1039.7174817747252,17.98703370704346,57042.81703761023,1.2800896031466922,475021.06728050386
2027-04-01,Isiala Ngwa North,A5,999.5248852140938,14.454252618718803,64774.053872237295,0.6992891716063144,589098.2908442982
2027-05-01,Isiala Ngwa North,A5,961.3015698672519,11.676874672469742,73047.31319189552,0.28127405863364674,722736.1108695441
2027-06-01,Isiala Ngwa North,A5,924.7519230541254,9.477694925101213,81793.3859946974,0.0,876989.3778598844
2027-07-01,Isiala Ngwa North,A5,889.775071048556,7.719198060289532,91002.80811572145,0.0,1053692.35619999
2027-08-01,Isiala Ngwa North,A5,856.3066434858615,6.30095163717473,100667.33989457971,0.0,1254745.3154981812
2027-09-01,Isiala Ngwa North,A5,824.2702945473907,5.148127573111461,110775.98876011763,0.0,1482063.3930771474
