LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Ikwuano,2027-11-01,5982.840365950125,236.52209880893577,774774.2547143277,58.643796190751594,13360115.36708878
Ikwuano,2027-12-01,6225.9834857281885,238.0270888990224,889804.9825136778,57.1478830460623,16543602.8536807
Ikwuano,2028-01-01,6485.619047473955,239.6211632530169,1016718.0697048726,55.638267712241046,20335499.185351074
Ikwuano,2028-02-01,6790.905856284976,242.57826128986127,1159077.602893909,54.42407276760556,24883244.645392388
Ikwuano,2028-03-01,7132.147167389461,246.05365237292514,1317415.3121764464,53.29551769495981,30295110.16544737
Ikwuano,2028-04-01,7515.098259513025,250.20531605834557,1492505.617526923,52.28665601111885,36690651.432964556
Isiala Ngwa North,2026-05-01,3512.916128521256,1203.9036559634226,10819.71124853798,673.9589220816343,19922.13566876438
Isiala Ngwa North,2026-06-01,4188.511250393007,1520.1912624223457,16871.85884042393,874.6856726758525,38817.162099426365
Isiala Ngwa North,2026-07-01,4090.661991401365,1302.3272747279673,23272.74152146907,745.054781706456,65768.33497614622
Isiala Ngwa North,2026-08-01,4250.655958905636,1363.3899604014848,30757.492183456234,805.8689359797512,102556.72697012735
Isiala Ngwa North,2026-09-01,3797.0088276046235,917.131931855344,39708.64613136398,521.886667606488,155318.95620878733
Isiala Ngwa North,2026-10-01,3848.030728147912,955.2688429787838,49300.27218725938,562.8347796031508,219739.92407749267
Isiala Ngwa North,2026-11-01,4001.836839311438,1068.8784291599097,60465.19844056723,650.6669669818093,303175.9948289338
Isiala Ngwa North,2026-12-01,3714.4618229505586,862.0989064953776,72316.69016884579,522.7351590253653,406857.4941490927
Isiala Ngwa North,2027-01-01,4050.4541536633133,1062.5048895408145,88685.22929203085,662.7514236579729,550302.1571401426
Isiala Ngwa North,2027-02-01,3326.797147906056,478.4201857490388,105829.49778836292,278.944930915406,727848.2889594941
Isiala Ngwa North,2027-03-01,3437.1532815921682,587.5470492934811,123236.91587632024,357.65883791383993,927242.2124994468
Isiala Ngwa North,2027-04-01,3263.0255620602497,449.92526747691136,144059.11695772986,270.2731623311546,1182148.3668127735
Isiala Ngwa North,2027-05-01,2948.201115847437,228.41739710148,162721.55814400947,126.00974910251296,1441493.7083350432
Isiala Ngwa North,2027-06-01,4004.753442110715,1003.3186333486004,187146.59665501595,645.1312867607934,1767201.9507969613
Isiala Ngwa North,2027-07-01,3922.323545460151,956.2881071829722,209594.95571513317,616.5556961948366,2121215.1427427744
Isiala Ngwa North,2027-08-01,4125.347280566504,1120.0699190491691,234447.93532364682,728.0886006933888,2532376.103382789
Isiala Ngwa North,2027-09-01,3570.130605645968,728.4793340562949,258789.49842785345,469.17953099322244,2988017.1778603075
Isiala Ngwa North,2027-10-01,3671.129332224773,813.9067541478458,287412.10639810836,527.8624750122689,3526530.3754238007
Isiala Ngwa North,2027-11-01,3850.551282221575,959.716725535942,318009.9625840727,626.5947021893172,4137414.3398095956
Isiala Ngwa North,2027-12-01,3592.925117616531,776.6331157972609,350366.2627196389,505.87051058167134,4831315.443762003
Isiala Ngwa North,2028-01-01,3853.5751491696806,991.2384768697253,384168.6438193042,650.1733006085688,5597556.533203479
Isiala Ngwa North,2028-02-01,3067.640010242287,418.6296901169247,419148.76555918553,269.50868825999675,6461297.8939024545
Isiala Ngwa North,2028-03-01,3219.175335417117,539.3296430963375,459490.45514420414,351.0,7458177.268764272
Isiala Ngwa North,2028-04-01,3031.5209057184943,409.6703070167948,501232.900002328,265.5,8563204.137861256
Isiala Ngwa South,2026-05-01,3354.105987755936,1270.0339172011052,8867.242206816209,759.5532793960139,14843.96289427734
Isiala Ngwa South,2026-06-01,3627.059635792931,1305.787215992813,10092.514363703589,760.5660132796387,17363.772107445595
Isiala Ngwa South,2026-07-01,3769.7440190526427,1292.911051223829,11020.798010812134,734.2514094956192,19469.682647826176
Isiala Ngwa South,2026-08-01,4158.186764331206,1359.4868988736298,12764.212862354974,753.0637425711013,23146.77909909557
Isiala Ngwa South,2026-09-01,4399.28528329744,1373.683339780282,14155.495490537578,743.0066694772449,26327.57025822127
Isiala Ngwa South,2026-10-01,4675.974226597224,1395.752688637598,15757.986564672217,737.5601948482138,30045.93303722567
Isiala Ngwa South,2026-11-01,4823.596145663867,1378.8335523681992,16998.75359715751,712.5894296511847,33203.3254239037
Isiala Ngwa South,2026-12-01,5241.30886499923,1433.893573889366,19323.808501983232,724.4831017099602,38672.05219172734
Isiala Ngwa South,2027-01-01,5234.163203592203,1375.6786025367537,20125.698073679298,681.094434850353,41208.373359415724
Isiala Ngwa South,2027-02-01,5741.098903509457,1445.746089487513,23070.320093244627,700.2688033623083,48371.39531012601
Isiala Ngwa South,2027-03-01,6055.0133304220135,1463.9385903854732,25386.94893412774,694.571328400617,54465.466480232084
Isiala Ngwa South,2027-04-01,6378.969716043819,1481.694828480524,27889.348845279408,688.9006077171762,61207.488058158684
Isiala Ngwa South,2027-05-01,7111.494012381569,1535.7135982751236,33590.50419314501,688.6969423312498,76886.68469262286
Isiala Ngwa South,2027-06-01,7654.515259435104,1574.7450582755082,38059.256067830516,689.4188062312796,89579.70737341768
Isiala Ngwa South,2027-07-01,8194.080025826286,1607.7307615178456,42850.628514864205,687.6391877746767,103668.49793952239
Isiala Ngwa South,2027-08-01,8853.997738369897,1656.586013844192,48702.12811436785,692.1800859369364,121109.18205849366
Isiala Ngwa South,2027-09-01,9515.069430645224,1699.333326471739,55010.78949124873,694.1253187137129,140561.93625017515
Isiala Ngwa South,2027-10-01,10239.616950007317,1746.242334639257,62205.37404396494,697.5032717686512,163296.48784989968
Isiala Ngwa South,2027-11-01,10977.888735073111,1789.2113378231716,70033.8169146777,699.2771950211867,188828.4269389845
Isiala Ngwa South,2027-12-01,11867.08631602266,1847.6515656810448,79528.14582868686,706.4135595462681,220261.99999241714
Isiala Ngwa South,2028-01-01,12677.21331235646,1888.7478077034273,89139.94482617587,707.2582811363786,253475.20004244806
Isiala Ngwa South,2028-02-01,13744.47502668052,1956.8668264434036,101504.63406141556,717.0963171530693,296458.5110645308
Isiala Ngwa South,2028-03-01,14821.020015372953,2018.4408991437592,114884.1357735602,724.3556794531321,344534.49063118
Isiala Ngwa South,2028-04-01,15995.83094344786,2084.0739245352806,130136.29786706642,732.5724064232936,400737.4651956798
Isuikwato,2026-05-01,4509.200369688689,2110.9200183465673,9631.621566437996,1412.2252012342587,14394.72187568761
Isuikwato,2026-06-01,4042.6322521006978,1431.7485152588222,11457.88787078634,827.5417839595987,19919.496294553755
Isuikwato,2026-07-01,4553.701477952494,1304.0296788270275,16152.555800929158,677.4650476807058,31740.02108302089
Isuikwato,2026-08-01,4824.857888435627,1157.4146410730282,20755.239948266608,552.2241596727918,45359.39041428654
Isuikwato,2026-09-01,5286.606780297347,1082.0972744505714,27102.176988222804,479.52453983701525,65240.00380734296
Isuikwato,2026-10-01,5596.4787166276,996.9561947995164,33623.852733402426,415.5793492003618,88391.40185896022
Isuikwato,2026-11-01,5969.504874151075,936.4403304843315,41592.971129128484,369.97901179881774,118724.33570489113
Isuikwato,2026-12-01,6243.162143629774,871.1052696037386,50015.475920200646,328.32057333063784,154300.69033734137
Isuikwato,2027-01-01,6851.3324151669785,855.076738368169,62745.257459768836,308.53458460169355,208469.4174131436
Isuikwato,2027-02-01,7348.926959827296,823.2585904699307,76613.39300036551,284.94240591772035,273373.7417207285
