LGA,scenario,date,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,cost_CM_usd_2024,cost_IPTp_usd_2024,cost_Dual AI_usd_2024,cost_PMC_usd_2024,cost_Vac_usd_2024,cost_LSM_usd_2024,cost_Pyr_usd_2024
Ohafia,Target,2027-10-01,189293.31387297,98385.16476990489,90908.14910306511,147275.69479693696,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-11-01,201953.1220897044,107068.62555228236,94884.49653742205,159935.50301367138,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-12-01,215867.1866488521,116623.9692965014,99243.21735235071,173849.56757281907,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2028-01-01,230138.55446423977,126627.20486155206,103511.34960268771,188120.93538820674,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2028-02-01,246765.29719692154,138157.7584033456,108607.53879357595,204747.6781208885,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2028-03-01,264849.887923098,150750.57903223028,114099.30889086772,222832.26884706493,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2028-04-01,284714.40194548713,164622.90296144673,120091.4989840404,242696.78286945407,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Osisioma Ngwa,BAU,2026-05-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-06-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-07-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-08-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-09-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-10-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-11-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2026-12-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-01-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-03-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-04-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-05-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-06-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-07-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-08-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-09-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-10-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-11-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2027-12-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2028-01-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2028-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2028-03-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,BAU,2028-04-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Osisioma Ngwa,High,2026-05-01,6751.348541692275,1271.5517236019814,5479.7968180902935,1813.6407886139107,99.71724374460037,,70.80253729900109,1136.7888888888892,,3630.3990831458736
Osisioma Ngwa,High,2026-06-01,14306.676027910094,3054.664907049311,11252.011120860783,4431.260521753367,199.43448748920056,,141.6050745980021,2273.577777777777,,7260.798166291747
Osisioma Ngwa,High,2026-07-01,21008.191805146886,4234.822022648181,16773.369782498703,6195.068545911793,299.15173123380123,,212.4076118970032,3410.3666666666663,,10891.19724943762
Osisioma Ngwa,High,2026-08-01,29098.858723566424,6401.449230723095,22697.40949284333,9348.027711252957,398.8689749784013,,283.2101491960042,4547.155555555554,,14521.596332583506
Osisioma Ngwa,High,2026-09-01,36118.0124580967,7716.151979852578,28401.860478244125,11429.47369270487,498.586218723002,,354.0126864950054,5683.944444444444,,18151.99541572938
Osisioma Ngwa,High,2026-10-01,45288.703737136384,10459.900898906595,34828.80283822979,15662.457218666192,598.3034624676023,,424.8152237940064,6820.733333333333,,21782.394498875252
Osisioma Ngwa,High,2026-11-01,53510.53818346098,12471.126322011685,41039.41186144929,18946.583911912403,698.0207062122028,,495.6177610930074,7957.522222222224,,25412.79358202114
Osisioma Ngwa,High,2026-12-01,64743.76883165421,16479.76984506581,48263.9989865884,25242.10680702729,797.7379499568027,,566.4202983920086,9094.311111111108,,29043.192665167004
Osisioma Ngwa,High,2027-01-01,71348.87923394356,17478.37374044811,53870.50549349545,26909.50945623826,897.4551937014035,,637.2228356910097,10231.1,,32673.591748312887
Osisioma Ngwa,High,2027-02-01,81649.75426969958,20626.167228490085,61023.587041209496,32272.676738915914,997.1724374460039,,708.0253729900106,11367.888888888889,,36303.99083145876
Osisioma Ngwa,High,2027-03-01,94086.80923569763,25211.84366717111,68874.96556852652,39772.02395183562,1096.8896811906043,,778.8279102890118,12504.677777777775,,39934.38991460463
Osisioma Ngwa,High,2027-04-01,101322.68699649461,26238.68500205485,75084.00199443975,42070.19395955423,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-05-01,101224.83079732028,26088.811347460443,75136.01944985983,41972.33776037988,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-06-01,109799.16987091102,31531.739014100203,78267.43085681082,50546.67683397063,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-07-01,107446.79095997296,29835.60959348378,77611.18136648918,48194.29792303258,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-08-01,113114.9719552295,33416.37217706578,79698.59977816371,53862.47891828911,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-09-01,112936.97468551736,33089.54852265342,79847.42616286394,53684.48164857697,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-10-01,120218.04302185761,37637.39691059467,82580.64611126293,60965.54998491721,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-11-01,123130.53989694304,39287.70873648613,83842.8311604569,63878.04686000264,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2027-12-01,133268.67087639106,45664.631405390406,87604.03947100065,74016.17783945067,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2028-01-01,130486.44998557366,43600.72239535647,86885.7275902172,71233.95694863328,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2028-02-01,136764.10020440782,47357.900098545746,89406.20010586208,77511.60716746742,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2028-03-01,145958.25932831544,53033.75533397563,92924.50399433982,86705.76629137504,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,High,2028-04-01,145143.78951686053,52095.976768325105,93047.81274853542,85891.29647992014,1196.6069249352045,,849.6304475880128,13641.466666666665,,43564.788997750504
Osisioma Ngwa,Maximum,2026-05-01,7660.720445803687,1438.4604422684258,6222.260003535261,2072.7323298444685,112.18189921267538,,77.88279102890118,1364.146666666666,,4033.776759050975
Osisioma Ngwa,Maximum,2026-06-01,16240.273971065133,3447.377527357512,12792.896443707621,5064.297739146704,224.36379842535092,,155.76558205780236,2728.293333333332,,8067.553518101944
Osisioma Ngwa,Maximum,2026-07-01,23844.042686062552,4777.514273247926,19066.528412814627,7080.078338184903,336.54569763802624,,233.64837308670357,4092.4400000000005,,12101.33027715292
Osisioma Ngwa,Maximum,2026-08-01,33035.412705268805,7212.6397204660825,25822.772984802723,10683.460241431945,448.7275968507017,,311.5311641156047,5456.586666666664,,16135.107036203888
Osisioma Ngwa,Maximum,2026-09-01,41002.19622860164,8686.35595022306,32315.840278378582,13062.255648805563,560.909496063377,,389.4139551445058,6820.733333333333,,20168.883795254867
Osisioma Ngwa,Maximum,2026-10-01,51427.879802802374,11755.15955635635,39672.72024644603,17899.95110704707,673.0913952760527,,467.29674617340714,8184.880000000001,,24202.66055430584
Osisioma Ngwa,Maximum,2026-11-01,60769.15556818583,13998.542722110946,46770.61284607489,21653.238756471317,785.273294488728,,545.1795372023083,9549.026666666668,,28236.43731335681
Osisioma Ngwa,Maximum,2026-12-01,73552.02699284778,18467.529896190816,55084.49709665697,28848.122065174044,897.4551937014035,,623.0623282312094,10913.173333333329,,32270.214072407787
Osisioma Ngwa,Maximum,2027-01-01,81045.61813647667,19576.081250580697,61469.53688589597,30753.72509284372,1009.6370929140791,,700.9451192601106,12277.319999999998,,36303.99083145876
Osisioma Ngwa,Maximum,2027-02-01,92762.94028978175,23068.740183598053,69694.20010618369,36883.0591301896,1121.818992126754,,778.8279102890118,13641.466666666665,,40337.76759050973
Osisioma Ngwa,Maximum,2027-03-01,106921.61093479209,28158.017989093994,78763.5929456981,45453.7416592407,1234.00089133943,,856.7107013179128,15005.613333333331,,44371.54434956071
Osisioma Ngwa,Maximum,2027-04-01,115136.07905957256,29278.343049603558,85857.736009969,48080.22166806197,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-05-01,115024.2434033733,29120.91312129148,85903.33028208182,47968.38601186271,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-06-01,124823.4880589056,35177.202643633944,89646.28541527165,57767.630667394995,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-07-01,122135.05501783354,33300.35450780386,88834.70051002968,55079.197626322944,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-08-01,128612.97615526959,37289.58971268564,91323.38644258394,61557.11876375898,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-09-01,128409.55070416997,36935.32566377314,91474.22504039684,61353.69331265938,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-10-01,136730.7716599874,41999.503304207465,94731.26835577993,69674.9142684768,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-11-01,140059.3395172279,43843.81194789838,96215.52756932951,73003.48212571729,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2027-12-01,151645.77492231136,50942.19028354997,100703.58463876139,84589.91753080075,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2028-01-01,148466.09390423435,48661.54420021706,99804.54970401729,81410.23651272374,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2028-02-01,155640.55129718763,52849.33877396759,102791.21252322005,88584.69390567704,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2028-03-01,166148.16172451066,59171.28243410158,106976.87929040908,99092.30433300005,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Maximum,2028-04-01,165217.33908284787,58143.569465414366,107073.76961743351,98161.48169133728,1346.1827905521052,,934.5934923468143,16369.759999999998,,48405.32110861168
Osisioma Ngwa,Scenario 1,2026-05-01,1591.3860304450345,295.20755050044477,1296.1784799445898,518.1830824611154,24.929310936150173,,14.160507459800257,227.35777777777696,,806.7553518101918
Osisioma Ngwa,Scenario 1,2026-06-01,3412.480330754516,719.2257931299291,2693.254537624587,1266.0744347866716,49.85862187230018,,28.32101491960042,454.7155555555554,,1613.510703620389
Osisioma Ngwa,Scenario 1,2026-07-01,4989.628428497998,998.2182015983989,3991.4102268995994,1770.0195845462276,74.78793280845036,,42.48152237940068,682.073333333334,,2420.266055430586
