LGA,date,month_index,group,scenario,bau_cases,scenario_cases,cases_averted,cases_averted_low,cases_averted_high,coverage_CM,coverage_IPTp,coverage_Dual AI,coverage_PMC,coverage_Vac,coverage_LSM,coverage_Pyr
Ikwuano,2026-05-01,1,U5,Maximum,626.3860924000923,605.8573786589063,20.528713741185925,6.665552278599222,56.85406464247717,0.5833333333333334,0.4875,0.4416666666666667,0.3958333333333333,,,
Ikwuano,2026-06-01,2,A5,Maximum,1920.662837408992,1852.9338358373002,67.7290015716917,7.294056413686064,583.6817388051386,0.6166666666666667,0.525,0.48333333333333334,0.44166666666666665,,,
Ikwuano,2026-06-01,2,PW,Maximum,1988.1431759891009,1877.5127341982466,110.63044179085432,10.78348129965076,1012.4684449517918,0.6166666666666667,0.525,0.48333333333333334,0.44166666666666665,,,
Ikwuano,2026-06-01,2,U5,Maximum,735.7934118057384,688.0359354095212,47.75747639621716,12.89555251868751,158.82684879004137,0.6166666666666667,0.525,0.48333333333333334,0.44166666666666665,,,
Ikwuano,2026-07-01,3,A5,Maximum,1864.1180990857677,1765.795732417719,98.32236666804874,5.791689363898811,1537.3274131664293,0.65,0.5625,0.525,0.4875,,,
Ikwuano,2026-07-01,3,PW,Maximum,1921.454947419965,1762.4288749199304,159.02607250003462,8.319431650570891,2688.910579287418,0.65,0.5625,0.525,0.4875,,,
Ikwuano,2026-07-01,3,U5,Maximum,782.717133336314,707.2607570653571,75.45637627095687,17.182054237843246,297.0594840784488,0.65,0.5625,0.525,0.4875,,,
Ikwuano,2026-08-01,4,A5,Maximum,1843.4427351705074,1714.1697247015,129.27301046900743,4.561132933553324,3338.8876440945896,0.6833333333333333,0.6,0.5666666666666667,0.5333333333333333,,,
Ikwuano,2026-08-01,4,PW,Maximum,1888.548327040706,1681.9103220953443,206.63800494536167,6.371250563331365,5858.268752840726,0.6833333333333333,0.6,0.5666666666666667,0.5333333333333333,,,
Ikwuano,2026-08-01,4,U5,Maximum,818.6206314405729,714.4356307384509,104.18500070212201,20.21785018967593,480.3973396550409,0.6833333333333333,0.6,0.5666666666666667,0.5333333333333333,,,
Ikwuano,2026-09-01,5,A5,Maximum,1808.8483943485232,1650.7427333766518,158.10566097187143,3.5322314406337227,6352.881810854247,0.7166666666666667,0.6375,0.6083333333333334,0.5791666666666666,,,
Ikwuano,2026-09-01,5,PW,Maximum,1843.3995339642486,1593.421375189199,249.97815877504968,4.808826571199717,11166.514020481307,0.7166666666666667,0.6375,0.6083333333333334,0.5791666666666666,,,
Ikwuano,2026-09-01,5,U5,Maximum,889.8283162891978,749.6730254942529,140.1552907949449,23.375981894719274,750.7167387522459,0.7166666666666667,0.6375,0.6083333333333334,0.5791666666666666,,,
Ikwuano,2026-10-01,6,A5,Maximum,1826.197879563228,1635.200331974229,190.99754758899917,2.807555481701028,11440.653756178246,0.75,0.675,0.65,0.625,,,
Ikwuano,2026-10-01,6,PW,Maximum,1843.7710926365917,1546.298842132352,297.4722505042396,3.711328760555517,20030.56972284775,0.75,0.675,0.65,0.625,,,
Ikwuano,2026-10-01,6,U5,Maximum,972.2758531743276,790.338187777712,181.93766539661556,26.252246213874216,1124.6996418392837,0.75,0.675,0.65,0.625,,,
Ikwuano,2026-11-01,7,A5,Maximum,1797.5032651126303,1578.8045127741161,218.69875233851417,2.1660801932427525,18907.156602682924,0.7833333333333333,0.7125,0.6916666666666667,0.6708333333333334,,,
Ikwuano,2026-11-01,7,PW,Maximum,1806.4106408208834,1469.3070500256813,337.1035907952021,2.792305833008516,33086.47647070061,0.7833333333333333,0.7125,0.6916666666666667,0.6708333333333334,,,
Ikwuano,2026-11-01,7,U5,Maximum,1037.070864550334,812.9333497008823,224.13751484945158,28.122012708183135,1590.7349052130194,0.7833333333333333,0.7125,0.6916666666666667,0.6708333333333334,,,
Ikwuano,2026-12-01,8,A5,Maximum,1802.901473014145,1552.9320888889276,249.9693841252174,1.6977344787728894,30400.898865107098,0.8166666666666667,0.75,0.7333333333333334,0.7166666666666667,,,
Ikwuano,2026-12-01,8,PW,Maximum,1795.902476332231,1416.1792530738387,379.7232232583922,2.1215053942217548,52894.49943094398,0.8166666666666667,0.75,0.7333333333333334,0.7166666666666667,,,
Ikwuano,2026-12-01,8,U5,Maximum,1125.1790355137468,850.0583224687956,275.12071304495123,30.15091321671416,2231.9470363887667,0.8166666666666667,0.75,0.7333333333333334,0.7166666666666667,,,
Ikwuano,2027-01-01,9,A5,Maximum,1746.061119655635,1474.4988540670581,271.5622655885768,1.2678260123478857,45497.839479671966,0.85,0.7875000000000001,0.775,0.7625,,,
Ikwuano,2027-01-01,9,PW,Maximum,1733.0758963220035,1324.3944830248056,408.6814132971979,1.5386211006879154,79050.99463109527,0.85,0.7875000000000001,0.775,0.7625,,,
Ikwuano,2027-01-01,9,U5,Maximum,1166.5893034675512,848.9363492066469,317.65295426090427,30.503224285843345,2935.1664563260656,0.85,0.7875000000000001,0.775,0.7625,,,
Ikwuano,2027-02-01,10,A5,Maximum,1738.0490206244724,1438.5685721953616,299.48044842911077,0.9633969668310263,67916.33250920079,0.8833333333333333,0.825,0.8166666666666667,0.8083333333333333,,,
Ikwuano,2027-02-01,10,PW,Maximum,1712.550543868463,1267.7316165181137,444.8189273503492,1.1245438497980862,117306.5371660688,0.8833333333333333,0.825,0.8166666666666667,0.8083333333333333,,,
Ikwuano,2027-02-01,10,U5,Maximum,1272.0168744860434,891.088874577638,380.92799990840547,32.16685053826546,3996.668201276634,0.8833333333333333,0.825,0.8166666666666667,0.8083333333333333,,,
Ikwuano,2027-03-01,11,A5,Maximum,1737.6753866087813,1409.2754251514668,328.3999614573145,0.7207375948817003,99306.10339374689,0.9166666666666666,0.8625,0.8583333333333334,0.8541666666666666,,,
Ikwuano,2027-03-01,11,PW,Maximum,1699.280185797583,1218.0008856062439,481.2793001913392,0.8005091505294661,170352.68829856673,0.9166666666666666,0.8625,0.8583333333333334,0.8541666666666666,,,
Ikwuano,2027-03-01,11,U5,Maximum,1376.0796355347686,927.4163337428444,448.66330179192425,33.40042106165867,5331.23998678138,0.9166666666666666,0.8625,0.8583333333333334,0.8541666666666666,,,
Ikwuano,2027-04-01,12,A5,Maximum,1717.9024131048068,1364.7573703916432,353.14504271316355,0.5120601385870147,140554.830807877,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-04-01,12,PW,Maximum,1670.7806483720117,1159.0701886658694,511.7104597061423,0.5307703106930164,239820.45569989632,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-04-01,12,U5,Maximum,1497.2975717555935,970.2081170438663,527.0894547117272,34.67188870540968,7077.541536153058,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-05-01,13,A5,Maximum,1709.3276565050123,1357.9453057600244,351.3823507449879,0.3061340970759997,185924.6788837046,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-05-01,13,PW,Maximum,1650.291492147145,1144.8562520881978,505.4352400589471,0.2820477354838976,315001.28198853484,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-05-01,13,U5,Maximum,1634.7382356007888,1059.265930393658,575.4723052071308,32.86533069706267,8892.928769986094,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-06-01,14,A5,Maximum,1706.1689390585511,1355.4359182167289,350.7330208418223,0.15895695531654952,243800.69968249789,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-06-01,14,PW,Maximum,1633.9170171166656,1133.4967921367222,500.42022497994344,0.10512164018097189,409706.60526311863,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-06-01,14,U5,Maximum,1790.4863402001056,1160.1864675980821,630.2998726020235,31.72726156014682,11044.283347301913,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-07-01,15,A5,Maximum,1695.9352231355108,1347.305922516204,348.62930061930683,0.04939888188532525,315022.91791267367,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-07-01,15,PW,Maximum,1612.6971788751193,1118.775959729396,493.9212191457234,0.0,525506.5659767166,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-07-01,15,U5,Maximum,1951.4751950055477,1264.502868447313,686.9723265582347,30.53574644738878,13622.787749112293,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-08-01,16,A5,Maximum,1687.1376007225635,1340.3168060574333,346.8207946651303,0.0,403551.8494126224,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-08-01,16,PW,Maximum,1592.7861453584376,1104.9630840552613,487.82306130317625,0.0,667939.7753421874,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-08-01,16,U5,Maximum,2126.837202280163,1378.1326813103965,748.7045209697667,29.436540280733816,16774.70990011619,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-09-01,17,A5,Maximum,1677.8239793384967,1332.9177632876115,344.9062160508852,0.0,512398.1704846993,0.95,0.9,0.9,0.9,,,
Ikwuano,2027-09-01,17,PW,Maximum,1572.7445918066057,1091.0596627538994,481.68492905270637,0.0,841335.1103652911,0.95,0.9,0.9,0.9,,,
