LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Obi Nwa,U5,"(1, 1, 1)","(0, 1, 1, 12)",430.81146894766215,408.4724592153878,6.9379610907072236,1012.6777731961489,ok
Obi Nwa,U5,"(0, 1, 1)","(1, 0, 0, 12)",430.81087549939673,408.47196874674046,6.937952760029562,52.429189842471644,ok
Obi Nwa,U5,"(1, 0, 1)","(1, 0, 0, 12)",194.40727530637963,139.98943612431643,2.3777398917081345,53.78933451716147,ok
Obi Nwa,U5,"(1, 0, 0)","(1, 0, 0, 12)",284.5087733342182,249.12243190815943,4.231378885913536,64.53508886199324,ok
Obi Nwa,A5,"(0, 1, 1)","(0, 1, 1, 12)",1141.752244623827,1133.9155867551335,5.559091000147731,1119.0101919960907,ok
Obi Nwa,A5,"(1, 1, 0)","(0, 1, 1, 12)",1141.7509026617793,1133.9142212401077,5.559084305626218,1174.745129033307,ok
Obi Nwa,A5,"(1, 1, 1)","(0, 1, 1, 12)",1141.7517539565956,1133.9151533019167,5.5590888751166405,1140.4017296731924,ok
Obi Nwa,A5,"(0, 1, 1)","(1, 0, 0, 12)",1141.7431538685903,1133.9062535447222,5.559045243508872,56.547112174643175,ok
Obi Nwa,A5,"(1, 0, 1)","(1, 0, 0, 12)",342.4883581133843,305.20352495718635,1.496279078108525,58.24387570602393,ok
Obi Nwa,A5,"(1, 0, 0)","(1, 0, 0, 12)",432.5630322940989,393.2958216848288,1.9281569882820386,61.167487768050684,ok
Ohafia,PW,"(0, 1, 1)","(0, 1, 1, 12)",6540.6036354962425,6042.25,16.37910002710762,997.489583921106,ok
Ohafia,PW,"(1, 1, 0)","(0, 1, 1, 12)",6540.603147709113,6042.249754257949,16.379099360959472,1118.8832436286107,ok
Ohafia,PW,"(1, 1, 1)","(0, 1, 1, 12)",6540.595988895186,6042.245626892618,16.37908817265551,518.4872891204463,ok
Ohafia,PW,"(0, 1, 1)","(1, 0, 0, 12)",6540.602757512453,6042.248710034685,16.379096530319018,50.06207999728107,ok
Ohafia,PW,"(1, 0, 1)","(1, 0, 0, 12)",4069.943611397293,3043.3517638282065,8.249801474188686,50.42731597816942,ok
Ohafia,PW,"(1, 0, 0)","(1, 0, 0, 12)",3967.7074113579934,2923.0898211377644,7.923800003084208,49.93371809393089,ok
Ohafia,U5,"(0, 1, 1)","(0, 1, 1, 12)",1432.3943241998693,1379.3333333333333,17.366488301332495,1067.3381215901002,ok
Ohafia,U5,"(1, 1, 0)","(0, 1, 1, 12)",1432.3708085068758,1379.3163577634405,17.36627457051861,946.6368978066796,ok
Ohafia,U5,"(1, 1, 1)","(0, 1, 1, 12)",1432.3943241998693,1379.3333333333333,17.366488301332495,923.9011335981995,ok
Ohafia,U5,"(0, 1, 1)","(1, 0, 0, 12)",1432.3865694595445,1379.3263948991755,17.366400943017634,57.99929265391637,ok
Ohafia,U5,"(1, 0, 1)","(1, 0, 0, 12)",887.7899602276052,768.5303032058582,9.676176307281816,58.47288982611705,ok
Ohafia,U5,"(1, 0, 0)","(1, 0, 0, 12)",940.2962261217483,850.9859343431931,10.714333450968752,65.15190588447732,ok
Ohafia,A5,"(0, 1, 1)","(0, 1, 1, 12)",6352.314781505505,5860.25,17.025711795467753,1071.2690157329582,ok
Ohafia,A5,"(1, 1, 0)","(0, 1, 1, 12)",6352.312180241603,5860.248675278674,17.02570794677128,1115.508402672404,ok
Ohafia,A5,"(1, 1, 1)","(0, 1, 1, 12)",6352.310272766212,5860.24762767342,17.0257049031767,1205.2297996182442,ok
Ohafia,A5,"(0, 1, 1)","(1, 0, 0, 12)",6352.266115270227,5860.200935759788,17.02556924973791,53.16152771251362,ok
Ohafia,A5,"(1, 0, 1)","(1, 0, 0, 12)",4223.318987423035,3251.597416477365,9.446825730614076,53.9521387144361,ok
Ohafia,A5,"(1, 0, 0)","(1, 0, 0, 12)",4037.4220020576863,3097.6925983907477,8.999687967433898,52.862338434192,ok
Osisioma Ngwa,PW,"(0, 1, 1)","(0, 1, 1, 12)",1659.9625497783577,1624.1666666666667,6.031068201510088,1119.9003962854622,ok
Osisioma Ngwa,PW,"(1, 1, 0)","(0, 1, 1, 12)",1659.9619822787472,1624.165754773542,6.031064815349208,1379.1575612343768,ok
Osisioma Ngwa,PW,"(1, 1, 1)","(0, 1, 1, 12)",1659.9625497783577,1624.1666666666667,6.031068201510088,1185.3947529723605,ok
Osisioma Ngwa,PW,"(0, 1, 1)","(1, 0, 0, 12)",1659.9554576340265,1624.1594491457336,6.03104140046689,29.039427625209466,ok
Osisioma Ngwa,PW,"(1, 0, 1)","(1, 0, 0, 12)",550.1762208879045,401.9596993183206,1.4926093550624604,67.3537005188081,ok
Osisioma Ngwa,PW,"(1, 0, 0)","(1, 0, 0, 12)",681.0598911984773,627.8202647119126,2.331304362093994,30.098321687521867,ok
Osisioma Ngwa,U5,"(0, 1, 1)","(0, 1, 1, 12)",516.8729695647343,501.8333333333333,6.3203190596137695,820.4178587739619,ok
Osisioma Ngwa,U5,"(1, 1, 0)","(0, 1, 1, 12)",516.8641249668887,501.82074275209953,6.320160488061706,1060.0418736289096,ok
Osisioma Ngwa,U5,"(1, 1, 1)","(0, 1, 1, 12)",516.8366854441908,501.7895786272388,6.319767992786383,1023.2087062891333,ok
Osisioma Ngwa,U5,"(0, 1, 1)","(1, 0, 0, 12)",516.8418427781678,501.79234267770175,6.319802804505059,34.931398183296636,ok
Osisioma Ngwa,U5,"(1, 0, 1)","(1, 0, 0, 12)",236.43492459834437,211.12506434876263,2.6590058482211916,36.657148894953124,ok
Osisioma Ngwa,U5,"(1, 0, 0)","(1, 0, 0, 12)",288.2947454081628,263.6673838587703,3.320747907541187,39.54306509123543,ok
Osisioma Ngwa,A5,"(0, 1, 1)","(0, 1, 1, 12)",1516.7486882583198,1480.75,6.524564882132629,1314.1649793715196,ok
Osisioma Ngwa,A5,"(1, 1, 0)","(0, 1, 1, 12)",1516.7457974275467,1480.7468298295316,6.524550913547176,1141.4172399439408,ok
Osisioma Ngwa,A5,"(1, 1, 1)","(0, 1, 1, 12)",1516.7484567168317,1480.749632059119,6.524563260890589,1013.1451491625542,ok
Osisioma Ngwa,A5,"(0, 1, 1)","(1, 0, 0, 12)",1516.7441758371938,1480.7451038187944,6.5245433083004825,44.043879692392466,ok
